date,time,nT,sq
05/04/2019,102302,40139.28,99
05/04/2019,102402,40139.18,99
05/04/2019,102502,40139.21,99
05/04/2019,102602,40139.16,99
05/04/2019,102702,40139.1,99
05/04/2019,102802,40139.2,99
05/04/2019,102902,40139.09,99
05/04/2019,103002,40139.04,99
05/04/2019,103102,40138.68,99
05/04/2019,103202,40138.59,99
05/04/2019,103302,40138.37,99
05/04/2019,103402,40138.42,99
05/04/2019,103502,40138.28,99
05/04/2019,103602,40138.35,99
05/04/2019,103702,40138.38,99
05/04/2019,103802,40138.47,99
05/04/2019,103902,40138.4,99
05/04/2019,104002,40137.88,99
05/04/2019,104102,40137.58,99
05/04/2019,104202,40137.77,99
05/04/2019,104302,40137.78,99
05/04/2019,104402,40137.61,99
05/04/2019,104502,40137.55,99
05/04/2019,104602,40137.46,99
05/04/2019,104702,40137.53,99
05/04/2019,104802,40137.5,99
05/04/2019,104902,40137.34,99
05/04/2019,105002,40137.9,99
05/04/2019,105102,40137.36,99
05/04/2019,105202,40137,99
05/04/2019,105302,40137.06,99
05/04/2019,105402,40137.23,99
05/04/2019,105502,40137.2,99
05/04/2019,105602,40137.11,99
05/04/2019,105702,40136.97,99
05/04/2019,105802,40137.47,99
05/04/2019,105902,40137.58,99
05/04/2019,110002,40137.44,99
05/04/2019,110102,40137.66,99
05/04/2019,110202,40137.8,99
05/04/2019,110302,40137.81,99
05/04/2019,110402,40138.12,99
05/04/2019,110502,40138.35,99
05/04/2019,110602,40138.55,99
05/04/2019,110702,40138.48,99
05/04/2019,110802,40138.57,99
05/04/2019,110902,40138.68,99
05/04/2019,111002,40138.6,99
05/04/2019,111102,40138.47,99
05/04/2019,111202,40138.39,99
05/04/2019,111302,40138.33,99
05/04/2019,111402,40138.25,99
05/04/2019,111502,40138.14,99
05/04/2019,111602,40138.27,99
05/04/2019,111702,40138.16,99
05/04/2019,111802,40138.52,99
05/04/2019,111902,40138.66,99
05/04/2019,112002,40138.86,99
05/04/2019,112102,40139.19,99
05/04/2019,112202,40139.56,99
05/04/2019,112302,40139.72,99
05/04/2019,112402,40139.75,99
05/04/2019,112502,40139.67,99
05/04/2019,112602,40139.48,99
05/04/2019,112702,40139.29,99
05/04/2019,112802,40139.48,99
05/04/2019,112902,40139.38,99
05/04/2019,113002,40139.09,99
05/04/2019,113102,40139.37,99
05/04/2019,113202,40139.03,99
05/04/2019,113302,40139,99
05/04/2019,113402,40138.85,99
05/04/2019,113502,40138.62,99
05/04/2019,113602,40138.61,99
05/04/2019,113702,40138.34,99
05/04/2019,113802,40138.08,99
05/04/2019,113902,40138.32,99
05/04/2019,114002,40137.88,99
05/04/2019,114102,40137.48,99
05/04/2019,114202,40137.11,99
05/04/2019,114302,40136.64,99
05/04/2019,114402,40136.49,99
05/04/2019,114502,40136.22,99
05/04/2019,114602,40136.03,99
05/04/2019,114702,40136.13,99
05/04/2019,114802,40136.23,99
05/04/2019,114902,40136.19,99
05/04/2019,115002,40136.04,99
05/04/2019,115102,40136.05,99
05/04/2019,115202,40136.06,99
05/04/2019,115302,40136.65,99
05/04/2019,115402,40137.07,99
05/04/2019,115502,40137.26,99
05/04/2019,115602,40137.43,99
05/04/2019,115702,40137.63,99
05/04/2019,115802,40137.58,99
05/04/2019,115902,40137.52,99
05/04/2019,120002,40137.41,99
05/04/2019,120102,40137.37,99
05/04/2019,120202,40137.29,99
05/04/2019,120302,40137.27,99
05/04/2019,120402,40137.05,99
05/04/2019,120502,40136.93,99
05/04/2019,120602,40136.75,99
05/04/2019,120702,40136.65,99
05/04/2019,120802,40136.72,99
05/04/2019,120902,40136.7,99
05/04/2019,121002,40136.44,99
05/04/2019,121102,40136.44,99
05/04/2019,121202,40136.66,99
05/04/2019,121302,40136.59,99
05/04/2019,121402,40136.55,99
05/04/2019,121502,40136.26,99
05/04/2019,121602,40136.68,99
05/04/2019,121702,40136.78,99
05/04/2019,121802,40136.83,99
05/04/2019,121902,40136.45,99
05/04/2019,122002,40136.16,99
05/04/2019,122102,40136.3,99
05/04/2019,122202,40136.24,99
05/04/2019,122302,40136.03,99
05/04/2019,122402,40135.54,99
05/04/2019,122502,40135.18,99
05/04/2019,122602,40134.9,99
05/04/2019,122702,40134.52,99
05/04/2019,122802,40134.11,99
05/04/2019,122902,40133.58,99
05/04/2019,123002,40133.33,99
05/04/2019,123102,40132.82,99
05/04/2019,123202,40132.24,99
05/04/2019,123302,40132,99
05/04/2019,123402,40131.53,99
05/04/2019,123502,40130.61,99
05/04/2019,123602,40130.85,99
05/04/2019,123702,40130.5,99
05/04/2019,123802,40130.23,99
05/04/2019,123902,40130.13,99
05/04/2019,124002,40130.17,99
05/04/2019,124102,40130.06,99
05/04/2019,124202,40129.51,99
05/04/2019,124302,40129.82,99
05/04/2019,124402,40129.6,99
05/04/2019,124502,40129.78,99
05/04/2019,124602,40129.92,99
05/04/2019,124702,40130.11,99
05/04/2019,124802,40129.71,99
05/04/2019,124902,40129.48,99
05/04/2019,125002,40129.42,99
05/04/2019,125102,40128.48,99
05/04/2019,125202,40128.37,99
05/04/2019,125302,40128.22,99
05/04/2019,125402,40127.96,99
05/04/2019,125502,40127.63,99
05/04/2019,125602,40126.53,99
05/04/2019,125702,40125.8,99
05/04/2019,125802,40125.56,99
05/04/2019,125902,40125,99
05/04/2019,130002,40124.39,99
05/04/2019,130102,40123.97,99
05/04/2019,130202,40123.17,99
05/04/2019,130302,40122.82,99
05/04/2019,130402,40122,99
05/04/2019,130502,40121.16,99
05/04/2019,130602,40121.22,99
05/04/2019,130702,40121.12,99
05/04/2019,130802,40121.03,99
05/04/2019,130902,40121.19,99
05/04/2019,131002,40121.28,99
05/04/2019,131102,40120.68,99
05/04/2019,131202,40119.49,99
05/04/2019,131302,40118.92,99
05/04/2019,131402,40119.14,99
05/04/2019,131502,40119.33,99
05/04/2019,131602,40118.69,99
05/04/2019,131702,40117.69,99
05/04/2019,131802,40117.29,99
05/04/2019,131902,40116.7,99
05/04/2019,132002,40115.81,99
05/04/2019,132102,40115.23,99
05/04/2019,132202,40114.83,99
05/04/2019,132302,40114.54,99
05/04/2019,132402,40114.89,99
05/04/2019,132502,40114.05,99
05/04/2019,132602,40113.78,99
05/04/2019,132702,40113.73,99
05/04/2019,132802,40113.51,99
05/04/2019,132902,40113.12,99
05/04/2019,133002,40113.09,99
